Time,Image,ParentImage,CommandLine,User,ProcessGuid,ParentProcessGuid
"2024-09-09 21:49:08","C:\Program Files (x86)\Google\GoogleUpdater\130.0.6679.0\updater.exe","C:\Program Files (x86)\Google\GoogleUpdater\130.0.6679.0\updater.exe",""C:\Program Files (x86)\Google\GoogleUpdater\130.0.6679.0\updater.exe" --crash-handler --system "--database=C:\Program Files (x86)\Google\GoogleUpdater\130.0.6679.0\Crashpad" --url=https://clients2.google.com/cr/report --annotation=prod=Update4 --annotation=ver=130.0.6679.0 "--attachment=C:\Program Files (x86)\Google\GoogleUpdater\updater.log" --initial-client-data=0x280,0x284,0x288,0x25c,0x28c,0xbfa6cc,0xbfa6d8,0xbfa6e4","NT AUTHORITY\SYSTEM","{30f6f5d4-eea0-66de-6100-000000000400}","{30f6f5d4-eea0-66de-6000-000000000400}"
"2024-09-09 21:49:06","C:\Program Files (x86)\Google\GoogleUpdater\130.0.6679.0\updater.exe","C:\Program Files (x86)\Google\GoogleUpdater\130.0.6679.0\updater.exe",""C:\Program Files (x86)\Google\GoogleUpdater\130.0.6679.0\updater.exe" --crash-handler --system "--database=C:\Program Files (x86)\Google\GoogleUpdater\130.0.6679.0\Crashpad" --url=https://clients2.google.com/cr/report --annotation=prod=Update4 --annotation=ver=130.0.6679.0 "--attachment=C:\Program Files (x86)\Google\GoogleUpdater\updater.log" --initial-client-data=0x280,0x284,0x288,0x25c,0x28c,0xbfa6cc,0xbfa6d8,0xbfa6e4","NT AUTHORITY\SYSTEM","{30f6f5d4-ee9e-66de-5700-000000000400}","{30f6f5d4-ee9d-66de-5300-000000000400}"
"2024-09-09 21:49:06","C:\Program Files (x86)\Google\GoogleUpdater\130.0.6679.0\updater.exe","C:\Program Files (x86)\Google\GoogleUpdater\130.0.6679.0\updater.exe",""C:\Program Files (x86)\Google\GoogleUpdater\130.0.6679.0\updater.exe" --crash-handler --system "--database=C:\Program Files (x86)\Google\GoogleUpdater\130.0.6679.0\Crashpad" --url=https://clients2.google.com/cr/report --annotation=prod=Update4 --annotation=ver=130.0.6679.0 "--attachment=C:\Program Files (x86)\Google\GoogleUpdater\updater.log" --initial-client-data=0x280,0x284,0x288,0x25c,0x28c,0xbfa6cc,0xbfa6d8,0xbfa6e4","NT AUTHORITY\SYSTEM","{30f6f5d4-ee9e-66de-5600-000000000400}","{30f6f5d4-ee9e-66de-5400-000000000400}"
"2024-09-09 21:49:02","C:\Users\win10\AppData\Local\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe","C:\Windows\System32\svchost.exe",""C:\Users\win10\AppData\Local\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe" /c","DESKTOP-0B7RNLE\win10","{30f6f5d4-ee97-66de-4100-000000000400}","{30f6f5d4-ee91-66de-1900-000000000400}"
"2024-09-09 21:48:56","C:\Windows\System32\svchost.exe","C:\Windows\System32\services.exe","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p -s WinHttpAutoProxySvc","NT AUTHORITY\LOCAL SERVICE","{30f6f5d4-ee95-66de-3900-000000000400}","{30f6f5d4-ee8f-66de-0b00-000000000400}"
"2024-09-09 21:47:15","C:\Windows\SysWOW64\SecEdit.exe","C:\Windows\SysWOW64\WindowsPowerShell\v1.0\powershell.exe",""C:\Windows\system32\SecEdit.exe" /export /cfg C:\Windows\TEMP/secexport.cfg","NT AUTHORITY\SYSTEM","{30f6f5d4-ee53-66de-b104-000000000300}","{30f6f5d4-ee51-66de-af04-000000000300}"
"2024-09-09 21:47:13","C:\Windows\SysWOW64\WindowsPowerShell\v1.0\powershell.exe","C:\Program Files (x86)\ossec-agent\wazuh-agent.exe","powershell "$null = secedit /export /cfg $env:temp/secexport.cfg; $(gc $env:temp/secexport.cfg | Select-String \"LSAAnonymousNameLookup\").ToString().Split(\"=\")[1].Trim()"","NT AUTHORITY\SYSTEM","{30f6f5d4-ee51-66de-af04-000000000300}","{30f6f5d4-ee44-66de-7e04-000000000300}"
"2024-09-09 21:47:13","C:\Windows\SysWOW64\reg.exe","C:\Program Files (x86)\ossec-agent\wazuh-agent.exe","reg query HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\system /v legalnoticecaption","NT AUTHORITY\SYSTEM","{30f6f5d4-ee51-66de-ad04-000000000300}","{30f6f5d4-ee44-66de-7e04-000000000300}"
"2024-09-09 21:47:13","C:\Windows\SysWOW64\reg.exe","C:\Program Files (x86)\ossec-agent\wazuh-agent.exe","reg query HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\system /v legalnoticetext","NT AUTHORITY\SYSTEM","{30f6f5d4-ee51-66de-ab04-000000000300}","{30f6f5d4-ee44-66de-7e04-000000000300}"
"2024-09-09 21:47:12","C:\Windows\SysWOW64\net1.exe","C:\Windows\SysWOW64\net.exe","C:\Windows\system32\net1 accounts","NT AUTHORITY\SYSTEM","{30f6f5d4-ee50-66de-aa04-000000000300}","{30f6f5d4-ee50-66de-a804-000000000300}"
